,CAN_SRR17681259_SaladClusterA,CAN_SRR17681260_SaladClusterA,CAN_SRR17681261_BerryClusterB,CAN_SRR17681262_BerryClusterB,CAN_SRR17681263_TravelCasePeru,CAN_SRR17681264_TravelCaseGuat,CAN_SRR17681265_DomesticSporadic,FDA_SRR15301086_AgWater1,FDA_SRR15301087_AgWater2,FDA_SRR15301088_Irrigation,FDA_SRR15301089_SoilSwab,FDA_SRR15301090_ProduceImport1,FDA_SRR15301091_ProduceImport2,FDA_SRR15301092_ProduceImport3,FDA_SRR15598756_Cilantro,FDA_SRR15598757_Basil,FDA_SRR15598758_BerryWash
CAN_SRR17681259_SaladClusterA,0.0,0.0,0.768071474343031,0.7398733693780198,0.728808135554577,0.6399494710018991,0.557561584244435,0.42759357606626325,0.5796022607983022,1.1092062034793126,1.0665814970956384,0.13525896615492175,0.4349073877649919,0.24086683718528584,0.4347435809403396,0.4893473572356298,0.49716058154414594
CAN_SRR17681260_SaladClusterA,0.0,0.0,0.7680714743430306,0.7398733693780194,0.7288081355545766,0.6399494710018987,0.5575615842444345,0.4275935760662633,0.5796022607983019,1.1092062034793122,1.066581497095638,0.13525896615492217,0.4349073877649918,0.24086683718528648,0.4347435809403396,0.48934735723562955,0.4971605815441461
CAN_SRR17681261_BerryClusterB,0.768071474343031,0.7680714743430306,0.0,0.17717010678314726,0.6992273061197454,0.68041151421834,0.4581424054135242,0.7067409556557745,0.7232332384947517,0.6525072344060625,0.6513879732717005,0.7432285388894614,0.708618660985315,0.8372947159696468,0.7194022701960372,0.595674987149564,1.066988996471002
CAN_SRR17681262_BerryClusterB,0.7398733693780198,0.7398733693780194,0.17717010678314726,0.0,0.7110176004566963,0.694516449284688,0.4703270290000385,0.6749508854775781,0.7223365789991592,0.7079586710868455,0.6439869932738015,0.7420342117785762,0.6772650395632209,0.8394228803867658,0.6802595864267732,0.6013412211313575,1.0639285344542013
CAN_SRR17681263_TravelCasePeru,0.728808135554577,0.7288081355545766,0.6992273061197454,0.7110176004566963,0.0,0.4283778009573523,0.3889653314763948,0.6921909706370015,0.7911519729988157,0.7497277089920289,0.7721968657267793,0.7369839266441085,0.7384483565131991,0.7723359070753973,0.6983958511464708,0.6709870611470992,0.6923418492023626
CAN_SRR17681264_TravelCaseGuat,0.6399494710018991,0.6399494710018987,0.68041151421834,0.694516449284688,0.4283778009573523,0.0,0.5062912228511587,0.6493195997452283,0.5660030255948011,0.6964999271296849,0.7377959056435519,0.648023121125003,0.6553378523434569,0.6447249610497003,0.5899033844047316,0.49278349457989873,0.634523509262912
CAN_SRR17681265_DomesticSporadic,0.557561584244435,0.5575615842444345,0.4581424054135242,0.4703270290000385,0.3889653314763948,0.5062912228511587,0.0,0.47418472178710275,0.5783061264926073,0.7237036722263273,0.6832670770430707,0.5592619724556801,0.4994454202202682,0.5971483935111365,0.5546910790331587,0.4695852283141215,0.701361252683913
FDA_SRR15301086_AgWater1,0.42759357606626325,0.4275935760662633,0.7067409556557745,0.6749508854775781,0.6921909706370015,0.6493195997452283,0.47418472178710275,0.0,0.5085195883869864,1.0774288728361756,0.7763472871781465,0.43945068308540247,0.09936708950086144,0.43436458910830356,0.19681236033708205,0.44433606595665437,0.5907266323524782
FDA_SRR15301087_AgWater2,0.5796022607983022,0.5796022607983019,0.7232332384947517,0.7223365789991592,0.7911519729988157,0.5660030255948011,0.5783061264926073,0.5085195883869864,0.0,0.8350106952427151,0.7765283897917103,0.5937006757119038,0.48543830758233586,0.5317982465149543,0.5471429351010095,0.26768751532260704,0.6701245619339713
FDA_SRR15301088_Irrigation,1.1092062034793126,1.1092062034793122,0.6525072344060625,0.7079586710868455,0.7497277089920289,0.6964999271296849,0.7237036722263273,1.0774288728361756,0.8350106952427151,0.0,0.7318132904157099,1.1101820818352248,1.0849813393259833,1.12575834551883,1.0884796681692592,0.7789233846029309,1.194923757529418
FDA_SRR15301089_SoilSwab,1.0665814970956384,1.066581497095638,0.6513879732717005,0.6439869932738015,0.7721968657267793,0.7377959056435519,0.6832670770430707,0.7763472871781465,0.7765283897917103,0.7318132904157099,0.0,1.0696503013014333,0.7839523991500484,1.075256171051116,0.7768275470771061,0.7401661265891724,1.1453778742288636
FDA_SRR15301090_ProduceImport1,0.13525896615492175,0.13525896615492217,0.7432285388894614,0.7420342117785762,0.7369839266441085,0.648023121125003,0.5592619724556801,0.43945068308540247,0.5937006757119038,1.1101820818352248,1.0696503013014333,0.0,0.44730227350059243,0.24990075738251755,0.445523433297863,0.5011171672367548,0.5252413447612319
FDA_SRR15301091_ProduceImport2,0.4349073877649919,0.4349073877649918,0.708618660985315,0.6772650395632209,0.7384483565131991,0.6553378523434569,0.4994454202202682,0.09936708950086144,0.48543830758233586,1.0849813393259833,0.7839523991500484,0.44730227350059243,0.0,0.42355636326692764,0.2228313760565254,0.44883675286074426,0.6156301158716736
